dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.1,QDA,0.005867125000000195,0.004871249999999883,0.1327433628318584,1860.0
cancer,0.1,LDA,0.003503542000000026,0.00034170800000010715,0.09734513274336287,960.0
cancer,0.1,Decicision Tree,0.005018332999999986,0.00045874999999995225,0.11504424778761058,14.0
cancer,0.1,Random Forrest,0.06533670800000002,0.0038699579999998956,0.07079646017699115,1288.0
cancer,0.1,Random Forrest (No Bootstrap),0.04753883299999995,0.0037035000000000817,0.08849557522123896,1856.0
cancer,0.1,SVM,0.006732125000000089,0.00032058400000001264,0.5309734513274336,60.0
cancer,0.1,AdaBoost,0.002872792000000013,0.0004342500000000804,0.08849557522123896,22.0
cancer,0.6,QDA,0.002122041000000241,0.00048354200000000347,0.052631578947368474,1860.0
cancer,0.6,LDA,0.0028258750000000887,0.0002790419999998406,0.04385964912280704,960.0
cancer,0.6,Decicision Tree,0.0033298749999999266,0.00023924999999991314,0.11403508771929827,50.0
cancer,0.6,Random Forrest,0.09235991700000001,0.003806833000000065,0.052631578947368474,4744.0
cancer,0.6,Random Forrest (No Bootstrap),0.09951966599999995,0.003885083999999761,0.052631578947368474,6620.0
cancer,0.6,SVM,0.010603666999999817,0.00042566700000001845,0.16666666666666663,60.0
cancer,0.6,AdaBoost,0.11881554100000002,0.0047289589999999215,0.06140350877192979,750.0
diabetes,0.1,QDA,0.055338582999999275,0.0225427920000012,0.22573714916430143,924.0
diabetes,0.1,LDA,0.08399729199999939,0.0030025830000006692,0.13775228634500158,483.0
diabetes,0.1,Decicision Tree,0.05618024999999882,0.00753679099999971,0.20762377798801634,13942.0
diabetes,0.1,Random Forrest,1.3382980000000018,0.5832188330000001,0.13656969410280673,1371672.0
diabetes,0.1,Random Forrest (No Bootstrap),1.6351657500000023,0.6717517089999987,0.13960501419110694,2131724.0
diabetes,0.1,SVM,0.9048305419999991,0.0018229160000018396,0.13587984862819302,42.0
diabetes,0.1,AdaBoost,0.710285583000001,0.19987762499999917,0.13509145380006304,746.0
diabetes,0.6,QDA,0.31658520800002066,0.020936332999980323,0.23030983916745507,924.0
diabetes,0.6,LDA,0.5066488329999856,0.001936375000013868,0.13706244087038788,483.0
diabetes,0.6,Decicision Tree,0.3712128750000261,0.0093692079999812,0.203307316304005,89266.0
diabetes,0.6,Random Forrest,8.248629167000018,0.8953472079999756,0.13808735414695683,8488472.0
diabetes,0.6,Random Forrest (No Bootstrap),11.008254875000006,1.0526887089999946,0.14362582781456956,13204384.0
diabetes,0.6,SVM,15.76743912500001,0.0029094170000121267,0.1899834437086093,42.0
diabetes,0.6,AdaBoost,4.207772124999991,0.22137195799999176,0.1325488804793441,750.0
