dataset,training_ratio,model,training_time,predict_time,error,model_size
diabetes,0.1,QDA,0.00994027000051574,0.01336827999984962,0.22944605809128632,923.9999999999999
diabetes,0.1,LDA,0.016799720000562957,0.001299219999782508,0.13890248962655602,483.00000000000006
diabetes,0.1,Decicision Tree,0.019286489999285547,0.003509930000655004,0.13706224066390044,125.99999999999997
diabetes,0.1,Random Forrest,3.334890610000002,1.3198389899996983,0.1347572614107884,2114822.0
diabetes,0.1,AdaBoost,0.32782427000056485,0.07940699999962816,0.13868049792531123,450.0
diabetes,0.1,kNN,0.002095050000207266,1.5567782399997667,0.1402759336099585,0
diabetes,0.1,Logistic Regression,0.07403885999956401,0.001235510000333306,0.13851244813278007,0
diabetes,0.1,Neural Network,0.37205370000046967,0.0388575299992226,0.1387966804979253,72961.99999999999
diabetes,0.10481131341546858,QDA,0.01046955000019807,0.01344128000018827,0.22949023838668853,923.9999999999999
diabetes,0.10481131341546858,LDA,0.01745524000070873,0.00136627000028966,0.13852777028569055,483.00000000000006
diabetes,0.10481131341546858,Decicision Tree,0.02046735000003537,0.0035159499995643276,0.13608581090894,125.99999999999997
diabetes,0.10481131341546858,Random Forrest,3.491984389999562,1.3332440700000006,0.1345193883690533,2163504.0000000005
diabetes,0.10481131341546858,AdaBoost,0.3414454200010369,0.07940501999946718,0.13899458494989522,449.6
diabetes,0.10481131341546858,kNN,0.002022880000004079,1.5848841699997138,0.140285068154941,0
diabetes,0.10481131341546858,Logistic Regression,0.07691586000037204,0.0012689399998635053,0.13791157492894043,0
diabetes,0.10481131341546858,Neural Network,0.4018932299997686,0.037148760000127366,0.13824145729164505,72961.99999999999
diabetes,0.10985411419875583,QDA,0.010480409999581752,0.01342884000041522,0.2279922819975518,923.9999999999999
diabetes,0.10985411419875583,LDA,0.018476209999789717,0.0013389700005063789,0.13784725824187222,483.00000000000006
diabetes,0.10985411419875583,Decicision Tree,0.021382590000212077,0.0035883399996237126,0.1356708645407581,125.59999999999998
diabetes,0.10985411419875583,Random Forrest,3.6330283700001025,1.3376234100003785,0.13417290815162142,2219794.8
diabetes,0.10985411419875583,AdaBoost,0.35708215000013294,0.07796985999993922,0.13851947135832693,449.2
diabetes,0.10985411419875583,kNN,0.0020414200000232084,1.6120131100004071,0.13987634598228177,0
diabetes,0.10985411419875583,Logistic Regression,0.07943897999939509,0.0012672100001509534,0.1373202763542812,0
diabetes,0.10985411419875583,Neural Network,0.41439577999954047,0.03709564000018872,0.13758999149359946,72961.99999999999
diabetes,0.11513953993264472,QDA,0.010994640000717482,0.013352999999915485,0.2304591381563933,923.9999999999999
diabetes,0.11513953993264472,LDA,0.019544809999570135,0.001358000000618631,0.1385298450175315,483.00000000000006
diabetes,0.11513953993264472,Decicision Tree,0.022573109999575538,0.0035512300004484133,0.13687420900848565,125.99999999999997
diabetes,0.11513953993264472,Random Forrest,3.7836038400004326,1.3581247999998594,0.1349301852735534,2282990.0
diabetes,0.11513953993264472,AdaBoost,0.3737459900003159,0.07937323999976799,0.13951741737380444,450.0
diabetes,0.11513953993264472,kNN,0.0021530199999688195,1.6478513800000656,0.14073943442810016,0
diabetes,0.11513953993264472,Logistic Regression,0.08257125000091038,0.0012810300002456642,0.13772484906325855,0
diabetes,0.11513953993264472,Neural Network,0.44432302999957757,0.036970879999717,0.1380568061578041,72961.99999999999
diabetes,0.12067926406393285,QDA,0.011281810000582482,0.013401309999972,0.22926201788418848,923.9999999999999
diabetes,0.12067926406393285,LDA,0.021156860000701275,0.0014670100001239917,0.13814809435880412,483.00000000000006
diabetes,0.12067926406393285,Decicision Tree,0.023577539999314466,0.0035424600002443188,0.13636589970746282,125.99999999999997
diabetes,0.12067926406393285,Random Forrest,3.9552879700000627,1.3822694700003924,0.13460652710637147,2330762.8
diabetes,0.12067926406393285,AdaBoost,0.39009106999983484,0.07727148000012676,0.1388742505031225,450.0
diabetes,0.12067926406393285,kNN,0.0022624799996265213,1.673873800000365,0.1398763459822818,0
diabetes,0.12067926406393285,Logistic Regression,0.08534693999972659,0.001260160000674659,0.1372352123488039,0
diabetes,0.12067926406393285,Neural Network,0.45651785999943967,0.03779584000076284,0.13865640365982698,72961.99999999999
diabetes,0.12648552168552962,QDA,0.011787209999965851,0.01346139000088442,0.22972614107883818,923.9999999999999
diabetes,0.12648552168552962,LDA,0.021080369999617685,0.0014885700002196247,0.13933195020746886,483.00000000000006
diabetes,0.12648552168552962,Decicision Tree,0.02474446999949578,0.0036639100006141236,0.13661410788381745,125.99999999999997
diabetes,0.12648552168552962,Random Forrest,4.122008909999568,1.359982840000157,0.1348174273858921,2385884.8000000003
diabetes,0.12648552168552962,AdaBoost,0.4094657199992071,0.07531564000091748,0.1386244813278008,450.0
diabetes,0.12648552168552962,kNN,0.002259700000286102,1.7038980700002866,0.14077385892116182,0
diabetes,0.12648552168552962,Logistic Regression,0.08802645999930973,0.001270980000481359,0.13833609958506227,0
diabetes,0.12648552168552962,Neural Network,0.48893524000013716,0.0371823299996322,0.13653526970954355,72961.99999999999
diabetes,0.13257113655901093,QDA,0.012173590000020341,0.013216510000711423,0.23195087035000722,923.9999999999999
diabetes,0.13257113655901093,LDA,0.0218851600006019,0.0013601099995867116,0.13876014025187247,483.00000000000006
