dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.1,QDA,0.0011810000005425536,0.00019419999989622738,0.18518518518518523,1860.0
cancer,0.1,LDA,0.001402300000336254,0.00012789999982487643,0.14814814814814814,960.0
cancer,0.1,Decicision Tree,0.0006563999995705672,0.00014590000046155183,0.09259259259259256,14.0
cancer,0.1,Random Forrest,0.0727508999998463,0.004236099999616272,0.06481481481481477,1512.0
cancer,0.1,SVM,0.001860800000031304,0.00013630000012199162,0.08333333333333337,60.0
cancer,0.1,AdaBoost,0.0035809999999401043,0.0004870000002483721,0.07407407407407407,37.0
cancer,0.1,kNN,0.00034129999949072953,0.11821950000012293,0.07407407407407407,0
cancer,0.1,Logistic Regression,0.007870599999478145,0.0001720000000204891,0.09259259259259256,0
cancer,0.1,Neural Network,1.0746231000002808,0.00037629999951604987,0.07407407407407407,75266.0
cancer,0.10481131341546858,QDA,0.0007814000000507804,0.0001905999997688923,0.17592592592592593,1860.0
cancer,0.10481131341546858,LDA,0.0010959999999613501,0.00012789999982487643,0.10185185185185186,960.0
cancer,0.10481131341546858,Decicision Tree,0.0006229000000530505,0.00014030000056663994,0.11111111111111116,14.0
cancer,0.10481131341546858,Random Forrest,0.07982840000022406,0.004127499999412976,0.09259259259259256,1444.0
cancer,0.10481131341546858,SVM,0.0010397000005468726,0.00015699999948992627,0.09259259259259256,60.0
cancer,0.10481131341546858,AdaBoost,0.009833400000388792,0.0011177999995197752,0.09259259259259256,116.0
cancer,0.10481131341546858,kNN,0.00035149999985151226,0.005208900000070571,0.13888888888888884,0
cancer,0.10481131341546858,Logistic Regression,0.00800619999972696,0.0001436000002286164,0.10185185185185186,0
cancer,0.10481131341546858,Neural Network,0.08438630000000558,0.00030560000050172675,0.14814814814814814,75266.0
cancer,0.10985411419875583,QDA,0.0007071999998515821,0.00019109999993816018,0.06481481481481477,1860.0
cancer,0.10985411419875583,LDA,0.0010785999993458972,0.00013440000020636944,0.08333333333333337,960.0
cancer,0.10985411419875583,Decicision Tree,0.0006722999996782164,0.00014100000043981709,0.08333333333333337,18.0
cancer,0.10985411419875583,Random Forrest,0.08494109999992361,0.0055661000005784445,0.01851851851851849,1420.0
cancer,0.10985411419875583,SVM,0.0009566999997332459,0.0001548000000184402,0.07407407407407407,60.0
cancer,0.10985411419875583,AdaBoost,0.0027319000000716187,0.00037429999974847306,0.04629629629629628,30.0
cancer,0.10985411419875583,kNN,0.0003330999998070183,0.005599699999947916,0.09259259259259256,0
cancer,0.10985411419875583,Logistic Regression,0.0077146000003267545,0.0001373999994029873,0.07407407407407407,0
cancer,0.10985411419875583,Neural Network,0.08186879999993835,0.00031349999972007936,0.06481481481481477,75266.0
cancer,0.11513953993264472,QDA,0.000701199999639357,0.00018940000063594198,0.1651376146788991,1860.0
cancer,0.11513953993264472,LDA,0.0011919999997189734,0.0001678000007814262,0.19266055045871555,960.0
cancer,0.11513953993264472,Decicision Tree,0.0007247000003189896,0.00015100000018719584,0.11926605504587151,14.0
cancer,0.11513953993264472,Random Forrest,0.0825198000002274,0.0055346999997709645,0.09174311926605505,1592.0
cancer,0.11513953993264472,SVM,0.0008156999992934288,0.000154300000758667,0.11009174311926606,60.0
cancer,0.11513953993264472,AdaBoost,0.13171170000077836,0.012013399999887042,0.07339449541284404,1456.0
cancer,0.11513953993264472,kNN,0.0004686999991463381,0.005131000000801578,0.11926605504587151,0
cancer,0.11513953993264472,Logistic Regression,0.007214199999907578,0.0001253000000360771,0.07339449541284404,0
cancer,0.11513953993264472,Neural Network,0.0802918999997928,0.0003455000005487818,0.08256880733944949,75266.0
cancer,0.12067926406393285,QDA,0.0007189999996626284,0.00018670000008569332,0.06481481481481477,1860.0
cancer,0.12067926406393285,LDA,0.0010993000005328213,0.00012869999955000822,0.13888888888888884,960.0
cancer,0.12067926406393285,Decicision Tree,0.0006260000000111177,0.00014430000010179356,0.09259259259259256,10.0
cancer,0.12067926406393285,Random Forrest,0.08209870000064257,0.005572799999754352,0.09259259259259256,1232.0
cancer,0.12067926406393285,SVM,0.0007100000002537854,0.00017769999976735562,0.08333333333333337,60.0
cancer,0.12067926406393285,AdaBoost,0.0016923999992286554,0.0002508000006855582,0.09259259259259256,11.0
cancer,0.12067926406393285,kNN,0.0003530000003593159,0.005229299999882642,0.11111111111111116,0
cancer,0.12067926406393285,Logistic Regression,0.008446900000308233,0.00020140000015089754,0.09259259259259256,0
cancer,0.12067926406393285,Neural Network,0.07948500000020431,0.0003934999995180988,0.09259259259259256,75266.0
cancer,0.12648552168552962,QDA,0.000729700000192679,0.00019129999964206945,0.06481481481481477,1860.0
cancer,0.12648552168552962,LDA,0.0011025000003428431,0.0001322999996773433,0.16666666666666663,960.0
cancer,0.12648552168552962,Decicision Tree,0.0006243999996513594,0.00013920000037614955,0.07407407407407407,10.0
cancer,0.12648552168552962,Random Forrest,0.08516259999942122,0.005528300000150921,0.04629629629629628,1216.0
cancer,0.12648552168552962,SVM,0.0007126000000425847,0.0001664000001255772,0.12962962962962965,60.0
cancer,0.12648552168552962,AdaBoost,0.0020025000003442983,0.00031180000041786116,0.12962962962962965,15.0
cancer,0.12648552168552962,kNN,0.000436700000136625,0.005885099999431986,0.11111111111111116,0
cancer,0.12648552168552962,Logistic Regression,0.008218500000111817,0.00015309999980672728,0.12962962962962965,0
cancer,0.12648552168552962,Neural Network,0.07798709999951825,0.0003052000001844135,0.07407407407407407,75266.0
cancer,0.13257113655901093,QDA,0.000754400000005262,0.0001965000001291628,0.11111111111111116,1860.0
cancer,0.13257113655901093,LDA,0.0011010000007445342,0.00012799999967683107,0.05555555555555558,960.0
cancer,0.13257113655901093,Decicision Tree,0.0006075000001146691,0.00014149999969959026,0.06481481481481477,10.0
cancer,0.13257113655901093,Random Forrest,0.08894919999966078,0.004557299999760289,0.04629629629629628,1424.0
cancer,0.13257113655901093,SVM,0.0008638999997856445,0.00013359999957174296,0.09259259259259256,60.0
cancer,0.13257113655901093,AdaBoost,0.0014402000006157323,0.00024669999947946053,0.06481481481481477,11.0
cancer,0.13257113655901093,kNN,0.00033090000033553224,0.005294800000228861,0.10185185185185186,0
cancer,0.13257113655901093,Logistic Regression,0.007776100000228325,0.00015580000035697594,0.08333333333333337,0
cancer,0.13257113655901093,Neural Network,0.08463060000030964,0.0003152999997837469,0.07407407407407407,75266.0
cancer,0.13894954943731375,QDA,0.0007365999999819905,0.00019410000004427275,0.18518518518518523,1860.0
cancer,0.13894954943731375,LDA,0.0013168000004952773,0.0001370999998471234,0.08333333333333337,960.0
cancer,0.13894954943731375,Decicision Tree,0.0007147999995140708,0.00014170000031299423,0.06481481481481477,14.0
cancer,0.13894954943731375,Random Forrest,0.08386249999966822,0.005746900000303867,0.06481481481481477,1564.0
cancer,0.13894954943731375,SVM,0.0017126999991887715,0.00012590000005729962,0.10185185185185186,60.0
cancer,0.13894954943731375,AdaBoost,0.0015191000002232613,0.00024249999933090294,0.06481481481481477,15.0
cancer,0.13894954943731375,kNN,0.00033150000035675475,0.005208700000366662,0.17592592592592593,0
cancer,0.13894954943731375,Logistic Regression,0.007635999999365595,0.0001275000004170579,0.10185185185185186,0
cancer,0.13894954943731375,Neural Network,0.08453120000012859,0.00038670000049023656,0.10185185185185186,75266.0
cancer,0.14563484775012436,QDA,0.0007503000006181537,0.00019119999979011482,0.04629629629629628,1860.0
cancer,0.14563484775012436,LDA,0.0011041999996450613,0.0002235000001746812,0.09259259259259256,960.0
cancer,0.14563484775012436,Decicision Tree,0.0008609999995314865,0.00018450000061420724,0.11111111111111116,14.0
cancer,0.14563484775012436,Random Forrest,0.0786431000005905,0.00429340000027878,0.04629629629629628,1884.0
