dataset,training_ratio,model,training_time,predict_time,error,model_size
diabetes,0.0005,QDA,0.0009126999999807594,0.012191560000019306,0.1425788381742739,923.9999999999999
diabetes,0.0005,LDA,0.0012357499999779975,0.0011052699999709148,0.1740643153526971,483.00000000000006
diabetes,0.0005,Decicision Tree,0.0006089300000439834,0.002931720000015048,0.1982655601659751,46.8
diabetes,0.0005,Random Forrest,0.2990515899999536,0.42416186999994354,0.14280497925311203,27137.199999999997
diabetes,0.0005,AdaBoost,0.03107572999997501,0.07934312999991562,0.17484439834024895,435.2
diabetes,0.0005,kNN,0.0004749600000650389,1.0610718599998563,0.13923858921161825,0
diabetes,0.0005,Logistic Regression,0.007424080000055256,0.0011244999999689754,0.15620954356846473,0
diabetes,0.0005,Neural Network,0.11705652999999076,0.04228546000003917,0.19925933609958507,72961.99999999999
diabetes,0.001,QDA,0.0009423599999990983,0.012937349999992876,0.2513288657441026,923.9999999999999
diabetes,0.001,LDA,0.001323720000027606,0.0011056899999857704,0.1632357517790826,483.00000000000006
diabetes,0.001,Decicision Tree,0.0007463800001005438,0.0031362799998987606,0.18746239548538354,71.2
diabetes,0.001,Random Forrest,0.31299260999999196,0.5062789999999495,0.14154235565053216,50976.00000000001
diabetes,0.001,AdaBoost,0.032711659999995396,0.0761179400000401,0.16959065540778856,424.4
diabetes,0.001,kNN,0.0004884800001036637,1.0569896199998765,0.1394406522956908,0
diabetes,0.001,Logistic Regression,0.007585429999971894,0.001136789999964094,0.15070022199630698,0
diabetes,0.001,Neural Network,0.03683012000001327,0.041719529999954826,0.15861532396937697,72961.99999999999
diabetes,0.0015,QDA,0.0009706900000765018,0.013080200000013064,0.32414937759336104,923.9999999999999
diabetes,0.0015,LDA,0.001324389999899722,0.0010716899999806627,0.15293153526970957,483.00000000000006
diabetes,0.0015,Decicision Tree,0.0007974399999966409,0.0030624199999238046,0.1718298755186722,77.2
diabetes,0.0015,Random Forrest,0.3292820699999993,0.5824922699999662,0.14039419087136928,79340.79999999999
diabetes,0.0015,AdaBoost,0.03394470999996883,0.07595654000001559,0.1577219917012448,417.59999999999997
diabetes,0.0015,kNN,0.0004387200001019665,1.0606358599998658,0.13883817427385892,0
diabetes,0.0015,Logistic Regression,0.007947759999933624,0.0011257300000579562,0.1450228215767635,0
diabetes,0.0015,Neural Network,0.054514480000034386,0.04233745999990788,0.14845228215767636,72961.99999999999
diabetes,0.002,QDA,0.0009489499999290274,0.012749299999995856,0.3432913545924189,923.9999999999999
diabetes,0.002,LDA,0.001445170000079088,0.0011304999999538266,0.15038486275648874,483.00000000000006
diabetes,0.002,Decicision Tree,0.0009032800000568387,0.0029829100000370095,0.167171518081288,81.2
diabetes,0.002,Random Forrest,0.3420606000000134,0.6117709799999375,0.13993028901014543,97520.4
diabetes,0.002,AdaBoost,0.03525930999999218,0.07443112000005385,0.15650117222349008,410.0
diabetes,0.002,kNN,0.0004902000001038686,1.061439819999896,0.1398929438370091,0
diabetes,0.002,Logistic Regression,0.008171210000000428,0.001136990000031801,0.14422290918898734,0
diabetes,0.002,Neural Network,0.06889544000000569,0.04113906999991741,0.14431627212182827,72961.99999999999
diabetes,0.0025,QDA,0.0011760800000047312,0.012764520000018821,0.2827240663900415,923.9999999999999
diabetes,0.0025,LDA,0.001556579999942187,0.0011512900000070659,0.15160995850622405,483.00000000000006
diabetes,0.0025,Decicision Tree,0.0010612900000069204,0.003154599999925267,0.17104771784232364,94.39999999999999
diabetes,0.0025,Random Forrest,0.360326459999942,0.6655144600000312,0.14098340248962654,128887.2
diabetes,0.0025,AdaBoost,0.036899870000024745,0.07462304999999105,0.15827800829875519,396.4
diabetes,0.0025,kNN,0.000519460000032268,1.0666049099999781,0.14149585062240666,0
diabetes,0.0025,Logistic Regression,0.02190012999994906,0.0011016600000402833,0.14623236514522822,0
diabetes,0.0025,Neural Network,0.08289082000001144,0.04172316999997747,0.1513941908713693,72961.99999999999
diabetes,0.003,QDA,0.0013801199999761591,0.01301461000002746,0.26710927612606067,923.9999999999999
diabetes,0.003,LDA,0.0017775400000118679,0.0011360399999830407,0.1488142907529202,483.00000000000006
diabetes,0.003,Decicision Tree,0.00110131000005822,0.0030321299999741314,0.16109047905558208,99.19999999999999
diabetes,0.003,Random Forrest,0.3798174799999743,0.7036835699999301,0.14065437042262288,152408.0
diabetes,0.003,AdaBoost,0.038338589999966644,0.07455664999993133,0.15548040415776257,411.59999999999997
diabetes,0.003,kNN,0.0004986399998870183,1.072211560000096,0.14202784290130502,0
diabetes,0.003,Logistic Regression,0.02216539000005469,0.0011085499999808235,0.1447602647357829,0
diabetes,0.003,Neural Network,0.09845084999997197,0.04102301000002626,0.14418763874769183,72961.99999999999
diabetes,0.0035,QDA,0.001604109999971115,0.013126809999994294,0.23787551867219914,923.9999999999999
diabetes,0.0035,LDA,0.008307199999944715,0.0013611099999707222,0.14911825726141079,483.00000000000006
diabetes,0.0035,Decicision Tree,0.0012619799998901727,0.0030491500001062375,0.16157883817427382,102.8
diabetes,0.0035,Random Forrest,0.3976911699999619,0.70874215000008,0.14053526970954358,165902.0
diabetes,0.0035,AdaBoost,0.03996056999990287,0.07566089000010834,0.15421784232365146,403.59999999999997
diabetes,0.0035,kNN,0.0005297499998960121,1.1036257099999602,0.14190248962655605,0
diabetes,0.0035,Logistic Regression,0.02260264999995343,0.0011757500000385336,0.1442655601659751,0
diabetes,0.0035,Neural Network,0.11439338999998654,0.04233172000008381,0.149649377593361,72961.99999999999
diabetes,0.004,QDA,0.0016885200000615443,0.012601519999952869,0.27574431004792627,923.9999999999999
diabetes,0.004,LDA,0.002164129999937359,0.0011505599999964034,0.14429552480341915,483.00000000000006
diabetes,0.004,Decicision Tree,0.0013306299999840123,0.0031920600000830746,0.15608000165978547,106.0
diabetes,0.004,Random Forrest,0.4080909300000258,0.7390522899999723,0.13885142845287243,195187.6
diabetes,0.004,AdaBoost,0.040928799999937836,0.07431769000004351,0.15379364717110314,429.2
diabetes,0.004,kNN,0.0005456400000184658,1.0786458900000069,0.14113155874603206,0
diabetes,0.004,Logistic Regression,0.022608049999917054,0.0010949900000468916,0.14149048735450942,0
diabetes,0.004,Neural Network,0.12947012000004177,0.04532756000007794,0.1447374426855329,72961.99999999999
diabetes,0.0045000000000000005,QDA,0.0017957700000351903,0.012986189999946872,0.2571339654349675,923.9999999999999
diabetes,0.0045000000000000005,LDA,0.0024150499998995658,0.0011484699999982694,0.1441731156248055,483.00000000000006
