dataset,model,training_time,predict_time,error,model_size
cancer,QDA,0.005557667000000155,0.003108791999999916,0.03947368421052633,1860
cancer,LDA,0.005605749999999965,0.0002507080000000439,0.04385964912280704,960
cancer,Decicision Tree,0.010871417000000161,0.0004136669999998954,0.03947368421052633,74
cancer,Random Forrest,0.11252275000000012,0.004459207999999881,0.03508771929824561,5704
cancer,Random Forrest (No Bootstrap),0.1266213329999999,0.004494707999999958,0.021929824561403466,7920
cancer,SVM,0.017479500000000092,0.00028799999999984394,0.07894736842105265,60
cancer,AdaBoost,0.14256295899999993,0.005244790999999971,0.030701754385964897,750
diabetes,QDA,0.41286362499999996,0.02971095900000087,0.23089128035320083,924
diabetes,LDA,0.6268691670000006,0.0029507920000000354,0.13691461684011352,483
diabetes,Decicision Tree,0.4733549579999998,0.018388708999999892,0.2016516871649322,112714
diabetes,Random Forrest,10.598371625,1.788303667000001,0.1388560391043835,10665384
diabetes,Random Forrest (No Bootstrap),13.862695499999997,2.0808665420000025,0.14336959949542727,16545936
diabetes,SVM,23.680488083,0.010009832999998025,0.4773336486912646,42
diabetes,AdaBoost,5.7311602079999915,0.3841760420000071,0.13267699463891514,750
