dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.05,QDA,0.0006159219999335621,0.00020784600002116357,0.1365789473684211,1859.9999999999968
cancer,0.05,LDA,0.0012528380000094328,0.00014827399999376215,0.19640350877192975,960.0000000000016
cancer,0.05,Decicision Tree,0.0005706650000502122,0.00015522199996667043,0.11728070175438596,7.599999999999985
cancer,0.05,Random Forrest,0.08137346599998639,0.00465186000000358,0.08122807017543855,825.0800000000002
cancer,0.05,Random Forrest (No Bootstrap),0.06035304600002745,0.004525604999962526,0.08649122807017545,1039.08
cancer,0.05,SVM,0.0012404399999923048,0.00016513500000655764,0.1223684210526316,60.0000000000001
cancer,0.05,AdaBoost,0.0016769049999857087,0.00028986800004531687,0.12087719298245618,8.67000000000001
cancer,0.1,QDA,0.0006976529999701597,0.00021397300000899124,0.10840707964601763,1859.9999999999968
cancer,0.1,LDA,0.0013159819999145842,0.00014972700003454512,0.1652212389380531,960.0000000000016
cancer,0.1,Decicision Tree,0.0006962870000006662,0.00016038200001275988,0.09929203539823009,12.159999999999991
cancer,0.1,Random Forrest,0.08385138899999219,0.004828950000028271,0.06592920353982298,1267.12
cancer,0.1,Random Forrest (No Bootstrap),0.06385388500000772,0.004768032000010862,0.06584070796460174,1700.1600000000005
cancer,0.1,SVM,0.0009081830000468473,0.00016272799996841058,0.09026548672566374,60.0000000000001
cancer,0.1,AdaBoost,0.006849412999981723,0.0008138150000104368,0.09761061946902652,68.24999999999997
cancer,0.15000000000000002,QDA,0.0007485879999330796,0.00021643000003678022,0.09026315789473685,1859.9999999999968
cancer,0.15000000000000002,LDA,0.0013488690000303901,0.00014774199999010307,0.10210526315789473,960.0000000000016
cancer,0.15000000000000002,Decicision Tree,0.0008264900000358465,0.00015993100001651322,0.09684210526315791,15.680000000000003
cancer,0.15000000000000002,Random Forrest,0.08433875900000197,0.004819700999969425,0.0635964912280702,1628.0799999999992
cancer,0.15000000000000002,Random Forrest (No Bootstrap),0.06636811199995465,0.004748072000002141,0.0635964912280702,2201.68
cancer,0.15000000000000002,SVM,0.0009558799999831534,0.00016052100000706561,0.07973684210526319,60.0000000000001
cancer,0.15000000000000002,AdaBoost,0.02220942299999479,0.0023094640000272193,0.07964912280701754,232.47000000000028
cancer,0.2,QDA,0.0008355900000424299,0.00021862800002054426,0.05745614035087722,1859.9999999999968
cancer,0.2,LDA,0.001404928999982076,0.00014998100003140282,0.07342105263157898,960.0000000000016
cancer,0.2,Decicision Tree,0.0010138780000033877,0.00015762599998197407,0.086140350877193,20.200000000000003
cancer,0.2,Random Forrest,0.08761715599996935,0.004860753000029945,0.05324561403508774,2075.3599999999988
cancer,0.2,Random Forrest (No Bootstrap),0.06960851899997576,0.004809571999994659,0.05377192982456141,2858.6
cancer,0.2,SVM,0.0010677840000516885,0.00016150400000697126,0.06289473684210528,60.0000000000001
cancer,0.2,AdaBoost,0.04959930200000599,0.00450655099993128,0.05938596491228073,494.43000000000006
cancer,0.25,QDA,0.0008593820000078265,0.00021562100005212423,0.051228070175438616,1859.9999999999968
cancer,0.25,LDA,0.0014343659999758534,0.00014832499997282866,0.06701754385964914,960.0000000000016
cancer,0.25,Decicision Tree,0.001163246999976763,0.00016186099997867116,0.08692982456140357,23.040000000000013
cancer,0.25,Random Forrest,0.0880298640000092,0.004675459999962186,0.05473684210526319,2373.5199999999995
cancer,0.25,Random Forrest (No Bootstrap),0.07270280300002921,0.004740247000027012,0.05745614035087721,3244.279999999999
cancer,0.25,SVM,0.0011157730000923042,0.00016448999992462637,0.057017543859649154,60.0000000000001
cancer,0.25,AdaBoost,0.06503077799996392,0.00563530100003845,0.056228070175438606,601.8899999999995
cancer,0.3,QDA,0.0009174229999734959,0.0002215609999711887,0.04973451327433626,1859.9999999999968
cancer,0.3,LDA,0.0014647309999963913,0.0001497349999681319,0.05884955752212386,960.0000000000016
cancer,0.3,Decicision Tree,0.001415958000034152,0.00015974200001437567,0.08194690265486733,28.160000000000007
cancer,0.3,Random Forrest,0.09256505099998318,0.00478691699995579,0.051238938053097316,2776.5999999999985
cancer,0.3,Random Forrest (No Bootstrap),0.07859899499989292,0.00489543400007278,0.05256637168141591,3816.759999999999
cancer,0.3,SVM,0.0011482879999675786,0.00016339800000423566,0.05433628318584068,60.0000000000001
cancer,0.3,AdaBoost,0.08129637499999263,0.006435516999990796,0.049380530973451305,690.2299999999999
cancer,0.35000000000000003,QDA,0.0009245829999417764,0.000216299000012441,0.04991228070175441,1859.9999999999968
cancer,0.35000000000000003,LDA,0.0015044419999321692,0.0001489650000712573,0.05403508771929829,960.0000000000016
cancer,0.35000000000000003,Decicision Tree,0.0016564940000262144,0.00016344799993930792,0.08701754385964912,31.760000000000023
cancer,0.35000000000000003,Random Forrest,0.09386866099994223,0.0048363810000228115,0.0519298245614035,3076.7999999999997
cancer,0.35000000000000003,Random Forrest (No Bootstrap),0.08217945299998063,0.004871578999982375,0.05070175438596493,4255.68
cancer,0.35000000000000003,SVM,0.0013365600000543052,0.00016504599995641913,0.04894736842105267,60.0000000000001
cancer,0.35000000000000003,AdaBoost,0.09147536100002075,0.0066805239999666805,0.04728070175438598,730.8699999999997
cancer,0.4,QDA,0.000935768999988795,0.00021653400001014236,0.04964912280701756,1859.9999999999968
cancer,0.4,LDA,0.001516567999988184,0.00014724100003149943,0.05692982456140354,960.0000000000016
cancer,0.4,Decicision Tree,0.0018144589999883464,0.00016169600005014217,0.08157894736842108,33.320000000000014
cancer,0.4,Random Forrest,0.0964473530000214,0.004715799000023253,0.052719298245614055,3323.6000000000004
cancer,0.4,Random Forrest (No Bootstrap),0.08638775299994446,0.004820783000022859,0.05263157894736844,4585.28
cancer,0.4,SVM,0.0013278019999870595,0.00016314100003910427,0.05131578947368422,60.0000000000001
cancer,0.4,AdaBoost,0.09620779100005167,0.00672855599994364,0.04614035087719301,733.7200000000003
cancer,0.45,QDA,0.0009690650000538885,0.00021647699998538877,0.05105263157894738,1859.9999999999968
cancer,0.45,LDA,0.0015577039999607222,0.00015015900004982535,0.05368421052631582,960.0000000000016
cancer,0.45,Decicision Tree,0.0020746760000020007,0.000169854000050691,0.08236842105263162,36.76000000000002
cancer,0.45,Random Forrest,0.10105664300004716,0.004835957000032069,0.050701754385964956,3714.359999999999
cancer,0.45,Random Forrest (No Bootstrap),0.0932806239999809,0.004912901000025155,0.04885964912280705,5184.159999999999
cancer,0.45,SVM,0.0013589679999859066,0.0001633099999980913,0.05017543859649124,60.0000000000001
cancer,0.45,AdaBoost,0.10543843700006618,0.0066823899999599225,0.04350877192982455,734.1999999999998
cancer,0.5,QDA,0.0009687340000891709,0.00021881099994971014,0.04637168141592921,1859.9999999999968
cancer,0.5,LDA,0.0015752570000040573,0.0001466710000022431,0.04946902654867257,960.0000000000016
cancer,0.5,Decicision Tree,0.0024628340000526806,0.00017159399993943228,0.08008849557522124,42.08000000000004
cancer,0.5,Random Forrest,0.10379313300006289,0.0049426510000012075,0.04725663716814156,4052.6399999999985
cancer,0.5,Random Forrest (No Bootstrap),0.09825905100000457,0.004901196999971944,0.04584070796460173,5643.000000000003
cancer,0.5,SVM,0.001447979000004125,0.00017041000002791408,0.04362831858407079,60.0000000000001
cancer,0.5,AdaBoost,0.11143955200000165,0.006822630000042412,0.03849557522123897,742.6000000000001
cancer,0.55,QDA,0.0009835279999606428,0.000215728000002855,0.05070175438596494,1859.9999999999968
cancer,0.55,LDA,0.0016232230000241545,0.00015259799998602826,0.05456140350877193,960.0000000000016
cancer,0.55,Decicision Tree,0.002633963999869594,0.00017503700011729963,0.08254385964912285,43.08000000000004
cancer,0.55,Random Forrest,0.1075201360000028,0.004985253999948325,0.055438596491228107,4279.319999999999
cancer,0.55,Random Forrest (No Bootstrap),0.10359428400000976,0.004908360999979775,0.05473684210526318,5933.56
cancer,0.55,SVM,0.0014761260001068873,0.00016461999997773095,0.04850877192982458,60.0000000000001
cancer,0.55,AdaBoost,0.11815295900005367,0.0068539179999606865,0.044561403508771934,742.7599999999998
cancer,0.6000000000000001,QDA,0.0009961769999790703,0.00021831200001543047,0.04701754385964913,1859.9999999999968
cancer,0.6000000000000001,LDA,0.0016168469998228835,0.0001464040000246314,0.04552631578947371,960.0000000000016
cancer,0.6000000000000001,Decicision Tree,0.002986611000014818,0.00018314599990844734,0.08017543859649123,47.72000000000001
cancer,0.6000000000000001,Random Forrest,0.11070409899999499,0.0048913220000576995,0.043157894736842124,4761.96
cancer,0.6000000000000001,Random Forrest (No Bootstrap),0.1098980189999929,0.004984182000061992,0.04210526315789474,6598.8
cancer,0.6000000000000001,SVM,0.0015498789999583095,0.00016759500014813968,0.046315789473684206,60.0000000000001
cancer,0.6000000000000001,AdaBoost,0.12423190900006371,0.006853548000090084,0.03701754385964915,743.5600000000001
cancer,0.6500000000000001,QDA,0.000995833000015409,0.0002144679999582877,0.04824561403508776,1859.9999999999968
cancer,0.6500000000000001,LDA,0.005050714000008158,0.0001828979998208524,0.04807017543859653,960.0000000000016
cancer,0.6500000000000001,Decicision Tree,0.003267432000047847,0.0001828820000446285,0.08078947368421054,50.24000000000001
cancer,0.6500000000000001,Random Forrest,0.11274299500006231,0.004819508999917163,0.04368421052631582,4899.76
cancer,0.6500000000000001,Random Forrest (No Bootstrap),0.1146205549999468,0.004944805999984962,0.0418421052631579,6837.039999999999
cancer,0.6500000000000001,SVM,0.0015932299999803939,0.00016437599995697386,0.04482456140350878,60.0000000000001
cancer,0.6500000000000001,AdaBoost,0.12979668900001343,0.006826475000052599,0.03754385964912284,744.1199999999999
cancer,0.7000000000000001,QDA,0.0010124950001409168,0.0002141099999425933,0.05123893805309731,1859.9999999999968
cancer,0.7000000000000001,LDA,0.008630705999985366,0.00021275300010529467,0.047168141592920355,960.0000000000016
cancer,0.7000000000000001,Decicision Tree,0.003704808999991656,0.0002057939999394875,0.0761061946902655,54.79999999999997
cancer,0.7000000000000001,Random Forrest,0.11597794900006193,0.004721063999932086,0.0454867256637168,5300.360000000002
cancer,0.7000000000000001,Random Forrest (No Bootstrap),0.12170247699999887,0.004892214999981662,0.043185840707964614,7443.88
cancer,0.7000000000000001,SVM,0.0016458329998931727,0.000167263000003004,0.045840707964601754,60.0000000000001
cancer,0.7000000000000001,AdaBoost,0.13579696900000265,0.006758752999976425,0.038761061946902695,745.1199999999998
cancer,0.7500000000000001,QDA,0.0010212550000505873,0.00021638600006554043,0.047982456140350904,1859.9999999999968
cancer,0.7500000000000001,LDA,0.009490367000016703,0.00022460299991507775,0.04850877192982461,960.0000000000016
cancer,0.7500000000000001,Decicision Tree,0.003993793999907211,0.00020215300011841466,0.07824561403508772,57.039999999999935
cancer,0.7500000000000001,Random Forrest,0.11856121499980876,0.004808879000011074,0.04587719298245616,5548.120000000002
cancer,0.7500000000000001,Random Forrest (No Bootstrap),0.12612738900003026,0.004938771000088309,0.04377192982456143,7770.5999999999985
cancer,0.7500000000000001,SVM,0.0017403689999810012,0.0001649519999045878,0.043947368421052624,60.0000000000001
cancer,0.7500000000000001,AdaBoost,0.14238231399996948,0.006715905000110068,0.03842105263157897,745.9599999999999
cancer,0.8,QDA,0.0010307150000699037,0.00021156499993594478,0.050000000000000044,1859.9999999999968
cancer,0.8,LDA,0.014569751999988516,0.00023953799998707842,0.04701754385964914,960.0000000000016
cancer,0.8,Decicision Tree,0.004329385000019102,0.00020751800002472004,0.07736842105263161,60.35999999999994
cancer,0.8,Random Forrest,0.12251097700005632,0.004948567999872465,0.04473684210526317,5857.599999999999
cancer,0.8,Random Forrest (No Bootstrap),0.13307487799997036,0.005038931000090088,0.042807017543859675,8233.519999999999
cancer,0.8,SVM,0.001844885999998951,0.00016872799998964176,0.04578947368421054,60.0000000000001
cancer,0.8,AdaBoost,0.14850250399991632,0.006769369000030565,0.037192982456140354,745.9599999999999
cancer,0.8500000000000001,QDA,0.001061945999990712,0.00021668999997928031,0.052368421052631606,1859.9999999999968
cancer,0.8500000000000001,LDA,0.014925466999939083,0.00024190499992982948,0.04666666666666669,960.0000000000016
cancer,0.8500000000000001,Decicision Tree,0.00471910599995681,0.00021322999995390996,0.07885964912280705,62.599999999999966
cancer,0.8500000000000001,Random Forrest,0.1266825099998823,0.004910086000054433,0.044035087719298247,6120.040000000001
cancer,0.8500000000000001,Random Forrest (No Bootstrap),0.13905550700003008,0.004895819999928792,0.042280701754385974,8550.239999999998
cancer,0.8500000000000001,SVM,0.0018728489999375597,0.00016705200003343636,0.04657894736842107,60.0000000000001
cancer,0.8500000000000001,AdaBoost,0.1551971470000717,0.006702464999871154,0.036315789473684204,746.2
cancer,0.9000000000000001,QDA,0.0010741830000370104,0.00021726299995862068,0.04999999999999998,1859.9999999999968
cancer,0.9000000000000001,LDA,0.016484103000057072,0.00025495300005786694,0.04415929203539824,960.0000000000016
cancer,0.9000000000000001,Decicision Tree,0.005093675999996777,0.00021524500001760322,0.0746902654867257,66.55999999999999
cancer,0.9000000000000001,Random Forrest,0.13121469700012311,0.004959749000045124,0.04185840707964601,6451.240000000001
cancer,0.9000000000000001,Random Forrest (No Bootstrap),0.14749915699992922,0.0049715799999285075,0.042035398230088485,9011.360000000002
cancer,0.9000000000000001,SVM,0.0019042790000094103,0.00016575700008615978,0.04442477876106192,60.0000000000001
cancer,0.9000000000000001,AdaBoost,0.1630367910001041,0.006837595999968469,0.03469026548672569,746.3600000000004
cancer,0.9500000000000001,QDA,0.001100105000041367,0.00021651299994118742,0.05035087719298246,1859.9999999999968
cancer,0.9500000000000001,LDA,0.017665669999914823,0.0002655100000811219,0.04719298245614038,960.0000000000016
cancer,0.9500000000000001,Decicision Tree,0.005571275000074822,0.0002289560000644998,0.0736842105263158,69.84000000000002
cancer,0.9500000000000001,Random Forrest,0.136302184999895,0.00492834100006803,0.045175438596491264,6683.799999999996
cancer,0.9500000000000001,Random Forrest (No Bootstrap),0.1540659380000579,0.005036564999973049,0.04228070175438597,9418.04
cancer,0.9500000000000001,SVM,0.0020028059999822293,0.00017001300007905224,0.04535087719298248,60.0000000000001
cancer,0.9500000000000001,AdaBoost,0.17077810499986307,0.006903397000005499,0.03421052631578946,746.8799999999999
cancer,1.0,QDA,0.0012029650000295075,0.00022657400006210093,0.0492105263157895,1859.9999999999968
cancer,1.0,LDA,0.019383368000108023,0.0002496289999908186,0.04631578947368422,960.0000000000016
cancer,1.0,Decicision Tree,0.0059592790000351685,0.0002456439999878058,0.07368421052631584,73.47999999999999
cancer,1.0,Random Forrest,0.1380128069999774,0.004972431000078361,0.04131578947368422,7041.719999999999
cancer,1.0,Random Forrest (No Bootstrap),0.16052820400012935,0.004983734999914302,0.037280701754385956,9882.359999999995
