dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.1,QDA,0.0058671250000001,0.0048712499999998,0.1327433628318584,1860.0
cancer,0.1,LDA,0.003503542,0.0003417080000001,0.0973451327433628,960.0
cancer,0.1,Decicision Tree,0.0050183329999999,0.0004587499999999,0.1150442477876105,14.0
cancer,0.1,Random Forrest,0.065336708,0.0038699579999998,0.0707964601769911,1288.0
cancer,0.1,Random Forrest (No Bootstrap),0.0475388329999999,0.0037035,0.0884955752212389,1856.0
cancer,0.1,SVM,0.006732125,0.000320584,0.5309734513274336,60.0
cancer,0.1,AdaBoost,0.002872792,0.00043425,0.0884955752212389,22.0
cancer,0.6,QDA,0.0021220410000002,0.000483542,0.0526315789473684,1860.0
cancer,0.6,LDA,0.002825875,0.0002790419999998,0.043859649122807,960.0
cancer,0.6,Decicision Tree,0.0033298749999999,0.0002392499999999,0.1140350877192982,50.0
cancer,0.6,Random Forrest,0.092359917,0.003806833,0.0526315789473684,4744.0
cancer,0.6,Random Forrest (No Bootstrap),0.0995196659999999,0.0038850839999997,0.0526315789473684,6620.0
cancer,0.6,SVM,0.0106036669999998,0.000425667,0.1666666666666666,60.0
cancer,0.6,AdaBoost,0.118815541,0.0047289589999999,0.0614035087719297,750.0
diabetes,0.1,QDA,0.05050008299999931,0.012424374999998378,0.23030983916745507,924.0
diabetes,0.1,LDA,0.08677466700000025,0.0016176669999978799,0.13897429832860297,483.0
diabetes,0.1,Decicision Tree,0.05566783300000111,0.006843457999998748,0.2089246294544308,13706.0
diabetes,0.1,Random Forrest,1.2502567919999983,0.5712709999999994,0.1398415326395459,1356412.0
diabetes,0.1,Random Forrest (No Bootstrap),1.6051673750000006,0.6296224170000002,0.14455219173762224,2100692.0
diabetes,0.1,SVM,0.9106791659999978,0.001986916999999977,0.1384421318196153,42.0
diabetes,0.1,AdaBoost,0.6954657080000004,0.18828062500000087,0.1366682434563229,746.0
diabetes,0.6,QDA,0.3165852080000206,0.0209363329999803,0.230309839167455,924.0
diabetes,0.6,LDA,0.5066488329999856,0.0019363750000138,0.1370624408703878,483.0
diabetes,0.6,Decicision Tree,0.3712128750000261,0.0093692079999812,0.203307316304005,89266.0
diabetes,0.6,Random Forrest,8.248629167000018,0.8953472079999756,0.1380873541469568,8488472.0
diabetes,0.6,Random Forrest (No Bootstrap),11.008254875000006,1.0526887089999946,0.1436258278145695,13204384.0
diabetes,0.6,SVM,15.76743912500001,0.0029094170000121,0.1899834437086093,42.0
diabetes,0.6,AdaBoost,4.207772124999991,0.2213719579999917,0.1325488804793441,750.0
cancer,0.2,QDA,0.0013349999999998,0.0020155000000001,0.0614035087719297,1860.0
cancer,0.2,LDA,0.0017625000000001,0.0005036249999998,0.043859649122807,960.0
cancer,0.2,Decicision Tree,0.000976166,0.0007471670000001,0.087719298245614,22.0
cancer,0.2,Random Forrest,0.0670381669999997,0.0041050830000002,0.0526315789473684,2316.0
cancer,0.2,Random Forrest (No Bootstrap),0.0538746249999997,0.0040638750000003,0.0614035087719297,3084.0
cancer,0.2,SVM,0.0037916249999998,0.0006591249999998,0.087719298245614,60.0
cancer,0.2,AdaBoost,0.0647042909999999,0.0050484589999997,0.0701754385964912,738.0
cancer,0.3,QDA,0.00160975,0.000771834,0.0442477876106194,1860.0
cancer,0.3,LDA,0.0024783329999999,0.0006634170000001,0.0530973451327433,960.0
cancer,0.3,Decicision Tree,0.001511625,0.0004996250000002,0.0353982300884956,30.0
cancer,0.3,Random Forrest,0.0722165830000003,0.0040195419999999,0.0176991150442478,2624.0
cancer,0.3,Random Forrest (No Bootstrap),0.0675886669999998,0.0043885829999998,0.0176991150442478,3692.0
cancer,0.3,SVM,0.0051494579999999,0.0007193340000002,0.0973451327433628,60.0
cancer,0.3,AdaBoost,0.0822455829999997,0.0050731669999999,0.0707964601769911,746.0
cancer,0.4,QDA,0.0020736249999999,0.0009552089999997,0.0614035087719297,1860.0
cancer,0.4,LDA,0.0023306670000002,0.0005501249999997,0.0964912280701754,960.0
cancer,0.4,Decicision Tree,0.0014208749999999,0.0004576669999996,0.0964912280701754,26.0
cancer,0.4,Random Forrest,0.0767009159999996,0.0040600420000003,0.0614035087719297,2972.0
cancer,0.4,Random Forrest (No Bootstrap),0.066789709,0.0040987910000001,0.0614035087719297,3816.0
cancer,0.4,SVM,0.004387125,0.0005177089999999,0.1842105263157895,60.0
cancer,0.4,AdaBoost,0.0917632080000001,0.0051153749999999,0.0526315789473684,734.0
cancer,0.5,QDA,0.0019679589999999,0.0008438750000001,0.0442477876106194,1860.0
cancer,0.5,LDA,0.0028702499999999,0.000736083,0.079646017699115,960.0
cancer,0.5,Decicision Tree,0.003619875,0.0010253749999997,0.0884955752212389,58.0
cancer,0.5,Random Forrest,0.0910472499999999,0.0041988330000002,0.0265486725663717,4384.0
cancer,0.5,Random Forrest (No Bootstrap),0.0937545420000001,0.004181666,0.0353982300884956,6664.0
cancer,0.5,SVM,0.0069862919999996,0.0006730000000003,0.0530973451327433,60.0
cancer,0.5,AdaBoost,0.105481417,0.005195708,0.0265486725663717,742.0
cancer,0.7000000000000001,QDA,0.002180917,0.000789916,0.0353982300884956,1860.0
cancer,0.7000000000000001,LDA,0.0058359999999999,0.00078675,0.0619469026548672,960.0
cancer,0.7000000000000001,Decicision Tree,0.0049919159999998,0.00075775,0.0884955752212389,46.0
cancer,0.7000000000000001,Random Forrest,0.1058151249999999,0.0043871669999999,0.0530973451327433,4724.0
cancer,0.7000000000000001,Random Forrest (No Bootstrap),0.1187668750000003,0.0044164579999996,0.0619469026548672,6484.0
cancer,0.7000000000000001,SVM,0.0153354999999999,0.0007704589999999,0.2831858407079646,60.0
cancer,0.7000000000000001,AdaBoost,0.1372497079999997,0.0051676670000002,0.0353982300884956,750.0
cancer,0.8,QDA,0.0023807920000002,0.0008443329999998,0.0350877192982456,1860.0
cancer,0.8,LDA,0.0040797500000002,0.0006195829999997,0.043859649122807,960.0
cancer,0.8,Decicision Tree,0.004919375,0.0008164999999999,0.0701754385964912,54.0
cancer,0.8,Random Forrest,0.1139977920000006,0.0044483749999999,0.0350877192982456,5636.0
cancer,0.8,Random Forrest (No Bootstrap),0.124201792,0.0045524999999999,0.0350877192982456,7456.0
cancer,0.8,SVM,0.0162535000000003,0.0010575419999998,0.0701754385964912,60.0
cancer,0.8,AdaBoost,0.156015709,0.0051569999999996,0.0526315789473684,742.0
cancer,0.9,QDA,0.0026037910000002,0.0009326249999999,0.0442477876106194,1860.0
cancer,0.9,LDA,0.0050887919999995,0.0008872079999999,0.0265486725663717,960.0
cancer,0.9,Decicision Tree,0.0080398750000005,0.0008891669999995,0.079646017699115,86.0
cancer,0.9,Random Forrest,0.1256959169999998,0.0045980000000005,0.0530973451327433,6968.0
cancer,0.9,Random Forrest (No Bootstrap),0.1556328750000002,0.0043869169999997,0.0442477876106194,9772.0
cancer,0.9,SVM,0.0150676250000003,0.0007397500000001,0.0530973451327433,60.0
