dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.1,QDA,0.0007426740000119024,0.00020136899996032301,0.11537037037037036,1859.9999999999968
cancer,0.1,LDA,0.0011300429999573677,0.000137211000028401,0.15657407407407412,960.0000000000016
cancer,0.1,Decicision Tree,0.000624387999987448,0.00014915899998413807,0.09787037037037043,11.319999999999988
cancer,0.1,Random Forrest,0.08453999199999998,0.004745619000032091,0.06712962962962966,1246.4800000000002
cancer,0.1,SVM,0.0009048930000699334,0.000146539000024859,0.09046296296296301,60.0000000000001
cancer,0.1,AdaBoost,0.0092781229999855,0.0010493380000116302,0.09287037037037042,101.53999999999995
cancer,0.1,kNN,0.00036095399997975624,0.00640976499995304,0.10101851851851855,0
cancer,0.1,Logistic Regression,0.007676922000018748,0.0001447340000322584,0.08750000000000005,0
cancer,0.1,Neural Network,0.06780304600000822,0.0003480039999703877,0.08361111111111119,75266.00000000019
cancer,0.10235310218990261,QDA,0.0007355779999670632,0.0001984110000194051,0.1228703703703704,1859.9999999999968
cancer,0.10235310218990261,LDA,0.0011107950000223358,0.00013604199998553664,0.15500000000000003,960.0000000000016
cancer,0.10235310218990261,Decicision Tree,0.0006281400000352733,0.00014839300001767697,0.10907407407407411,11.83999999999999
cancer,0.10235310218990261,Random Forrest,0.08492287199997918,0.004766118000061398,0.06953703703703709,1273.12
cancer,0.10235310218990261,SVM,0.0009135190000142754,0.00014512699998704188,0.09814814814814819,60.0000000000001
cancer,0.10235310218990261,AdaBoost,0.004801252000061142,0.0006012279999868043,0.10398148148148152,50.639999999999944
cancer,0.10235310218990261,kNN,0.0003548569999566099,0.005445605000049911,0.10333333333333337,0
cancer,0.10235310218990261,Logistic Regression,0.007780292999996166,0.0001434589999553283,0.09537037037037041,0
cancer,0.10235310218990261,Neural Network,0.057806437999952304,0.0003392239999811865,0.08814814814814821,75266.00000000019
cancer,0.10476157527896648,QDA,0.000739182999977857,0.00020114099998863822,0.11907407407407414,1859.9999999999968
cancer,0.10476157527896648,LDA,0.0011188840000522758,0.0001382859999921493,0.1537962962962964,960.0000000000016
cancer,0.10476157527896648,Decicision Tree,0.0006384599999819328,0.00014657699999588657,0.10138888888888895,12.239999999999997
cancer,0.10476157527896648,Random Forrest,0.08600238499998343,0.004833133000001909,0.06685185185185188,1323.8799999999994
cancer,0.10476157527896648,SVM,0.0010440929999822404,0.0001500250000026426,0.09731481481481485,60.0000000000001
cancer,0.10476157527896648,AdaBoost,0.013156575000020893,0.0013930509999954667,0.09416666666666672,146.78000000000029
cancer,0.10476157527896648,kNN,0.0003613399999358081,0.005413357000061294,0.10462962962962968,0
cancer,0.10476157527896648,Logistic Regression,0.007718788999973184,0.00014429199999540295,0.0887962962962963,0
cancer,0.10476157527896648,Neural Network,0.08320526500000597,0.00034423800001604816,0.08,75266.00000000019
cancer,0.10722672220103231,QDA,0.0007565769999655461,0.00020395100004861886,0.12305555555555558,1859.9999999999968
cancer,0.10722672220103231,LDA,0.0011227939999844242,0.00013736199999584632,0.157962962962963,960.0000000000016
