dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.1,QDA,0.0007378339998103909,0.0002011980002134806,0.11851851851851858,1859.9999999999968
cancer,0.1,LDA,0.0011210709999795647,0.00013615700012451268,0.1614814814814815,960.0000000000016
cancer,0.1,Decicision Tree,0.000621088999796484,0.00015213200014841283,0.10759259259259267,11.479999999999992
cancer,0.1,Random Forrest,0.08368331300000136,0.0046777320000910535,0.07222222222222227,1217.0400000000002
cancer,0.1,SVM,0.0008742640000855317,0.00014768600001843882,0.09796296296296303,60.0000000000001
cancer,0.1,AdaBoost,0.006259500000051049,0.0007736819998171994,0.10148148148148153,65.53999999999995
cancer,0.1,kNN,0.0003544750001310605,0.006618499999858609,0.10740740740740742,0
cancer,0.1,Logistic Regression,0.0077574430000822755,0.00014275699981226346,0.0910185185185185,0
cancer,0.1,Neural Network,0.06847068599967314,0.0003480830003172741,0.08666666666666671,75266.00000000019
cancer,0.15000000000000002,QDA,0.0008112850000543405,0.00021026399994298104,0.08907407407407408,1859.9999999999968
cancer,0.15000000000000002,LDA,0.0011934230002225378,0.00013980500010802644,0.0930555555555556,960.0000000000016
cancer,0.15000000000000002,Decicision Tree,0.0007828089997929057,0.00015751300019474005,0.09518518518518522,15.600000000000005
cancer,0.15000000000000002,Random Forrest,0.0891269989998546,0.004887025000134598,0.0658333333333334,1607.6400000000008
cancer,0.15000000000000002,SVM,0.0010734230001253307,0.000150630000171077,0.07648148148148151,60.0000000000001
cancer,0.15000000000000002,AdaBoost,0.03192799000007653,0.003052931999845896,0.080462962962963,339.6600000000001
cancer,0.15000000000000002,kNN,0.00036677899999631324,0.005452531999981145,0.09898148148148155,0
cancer,0.15000000000000002,Logistic Regression,0.007929526000116314,0.00014970600019296394,0.07444444444444447,0
cancer,0.15000000000000002,Neural Network,0.11057146399998605,0.00035276400016300604,0.07148148148148153,75266.00000000019
cancer,0.20000000000000004,QDA,0.0008409590000883329,0.0002110960000936757,0.057129629629629676,1859.9999999999968
cancer,0.20000000000000004,LDA,0.0012079370000719796,0.00013992300006066214,0.07444444444444451,960.0000000000016
cancer,0.20000000000000004,Decicision Tree,0.0009465550001550581,0.00015410199983307386,0.0858333333333333,19.040000000000006
cancer,0.20000000000000004,Random Forrest,0.08986912599986678,0.004762170000140032,0.058796296296296346,2018.2
cancer,0.20000000000000004,SVM,0.0011290320000989598,0.00015365000006568159,0.06907407407407413,60.0000000000001
cancer,0.20000000000000004,AdaBoost,0.0896814290002294,0.007596447999749215,0.06342592592592596,899.8199999999997
cancer,0.20000000000000004,kNN,0.00038757300029828895,0.005307040999650782,0.09129629629629633,0
cancer,0.20000000000000004,Logistic Regression,0.00788314099991112,0.00014462500010267826,0.0732407407407408,0
cancer,0.20000000000000004,Neural Network,0.13510314199986165,0.0003443540000080248,0.06925925925925924,75266.00000000019
cancer,0.25000000000000006,QDA,0.0008676139999806765,0.0002082580000569578,0.05361111111111114,1859.9999999999968
cancer,0.25000000000000006,LDA,0.0012381760001153454,0.00013846800011378953,0.0652777777777778,960.0000000000016
cancer,0.25000000000000006,Decicision Tree,0.001138861000072211,0.00015398899991851065,0.09092592592592598,22.44000000000001
cancer,0.25000000000000006,Random Forrest,0.0934598139998707,0.00480017500009126,0.05296296296296301,2450.4000000000005
cancer,0.25000000000000006,SVM,0.0012467990000368438,0.00014925799994671253,0.0643518518518519,60.0000000000001
cancer,0.25000000000000006,AdaBoost,0.12978035699972684,0.010147815999916926,0.05268518518518523,1217.2600000000004
cancer,0.25000000000000006,kNN,0.000403334999937215,0.005914490999821284,0.0870370370370371,0
cancer,0.25000000000000006,Logistic Regression,0.0077669589997458365,0.00013993300010042722,0.07157407407407411,0
cancer,0.25000000000000006,Neural Network,0.18326690199992307,0.0003365859999757958,0.06481481481481485,75266.00000000019
cancer,0.30000000000000004,QDA,0.0008835200002067724,0.00020684199986135347,0.04824074074074077,1859.9999999999968
cancer,0.30000000000000004,LDA,0.0012626129999625843,0.00013664699996297715,0.057962962962962994,960.0000000000016
cancer,0.30000000000000004,Decicision Tree,0.0013872500002253213,0.00015654699993319812,0.08185185185185188,26.200000000000006
cancer,0.30000000000000004,Random Forrest,0.09845422000016689,0.004861128999982614,0.055000000000000035,2822.8799999999997
cancer,0.30000000000000004,SVM,0.001469080000024405,0.0001510119998783921,0.05814814814814819,60.0000000000001
cancer,0.30000000000000004,AdaBoost,0.16159533999973058,0.01185354300017934,0.05037037037037041,1421.5200000000007
cancer,0.30000000000000004,kNN,0.00041006799983733783,0.005885543000185864,0.08092592592592596,0
cancer,0.30000000000000004,Logistic Regression,0.00786030600011145,0.00013855599987437018,0.059166666666666694,0
cancer,0.30000000000000004,Neural Network,0.2096172629999274,0.0003476710000904859,0.05675925925925931,75266.00000000019
cancer,0.3500000000000001,QDA,0.000910451999916404,0.00021174100005737272,0.04962962962962969,1859.9999999999968
cancer,0.3500000000000001,LDA,0.0013191769998957168,0.000143101000066963,0.05712962962962967,960.0000000000016
cancer,0.3500000000000001,Decicision Tree,0.0016026600000986952,0.00016065199983131612,0.07972222222222226,27.440000000000015
cancer,0.3500000000000001,Random Forrest,0.10213263299996472,0.005080269000027331,0.05203703703703712,3094.68
cancer,0.3500000000000001,SVM,0.0013880380000773583,0.00015352099988376723,0.05592592592592598,60.0000000000001
cancer,0.3500000000000001,AdaBoost,0.17847227899997956,0.012341465999925277,0.046018518518518556,1463.7100000000003
cancer,0.3500000000000001,kNN,0.00041441200006374866,0.005903426000149921,0.08249999999999999,0
cancer,0.3500000000000001,Logistic Regression,0.00787509499972657,0.0001412799999525305,0.06388888888888895,0
cancer,0.3500000000000001,Neural Network,0.23889747200006253,0.0003551759998299534,0.06444444444444448,75266.00000000019
cancer,0.40000000000000013,QDA,0.0009231819997876304,0.00020971500012819893,0.04398148148148151,1859.9999999999968
cancer,0.40000000000000013,LDA,0.0013124489999245266,0.0001405779999186052,0.05361111111111118,960.0000000000016
cancer,0.40000000000000013,Decicision Tree,0.0018432619998566219,0.00016227900006924757,0.08129629629629634,29.800000000000022
cancer,0.40000000000000013,Random Forrest,0.10351710900002213,0.005010642999986882,0.047407407407407454,3386.4800000000005
cancer,0.40000000000000013,SVM,0.001499316000008548,0.00015261699991242494,0.05000000000000003,60.0000000000001
cancer,0.40000000000000013,AdaBoost,0.18616010799982177,0.012052950000033888,0.04361111111111116,1452.0300000000007
cancer,0.40000000000000013,kNN,0.00040886500017222715,0.0059099289996811435,0.07657407407407411,0
cancer,0.40000000000000013,Logistic Regression,0.00793560699974478,0.00013626700005261232,0.05962962962962969,0
cancer,0.40000000000000013,Neural Network,0.28698086299991704,0.00035556200004066357,0.059259259259259324,75266.00000000019
cancer,0.45000000000000007,QDA,0.0009364720000667153,0.00020974600003683015,0.04685185185185189,1859.9999999999968
cancer,0.45000000000000007,LDA,0.0013398130000496166,0.00013931800014688637,0.05481481481481487,960.0000000000016
cancer,0.45000000000000007,Decicision Tree,0.0020420650001324245,0.00016246699960902332,0.07638888888888895,32.000000000000014
cancer,0.45000000000000007,Random Forrest,0.10606790499987258,0.004993492000139669,0.04916666666666672,3755.8400000000006
cancer,0.45000000000000007,SVM,0.001561397000077705,0.00015028399986476867,0.05175925925925931,60.0000000000001
cancer,0.45000000000000007,AdaBoost,0.2011089680001533,0.012321650000194499,0.0392592592592593,1483.9600000000007
cancer,0.45000000000000007,kNN,0.0004100780002409009,0.005896639999700713,0.08064814814814815,0
cancer,0.45000000000000007,Logistic Regression,0.008061390999901047,0.00013868500005628442,0.06250000000000006,0
cancer,0.45000000000000007,Neural Network,0.31405896099997344,0.0003392110000277171,0.06222222222222229,75266.00000000019
cancer,0.5000000000000001,QDA,0.0009757010000248555,0.00021797300010803153,0.04925925925925932,1859.9999999999968
cancer,0.5000000000000001,LDA,0.0013950850000765051,0.00014409899995371234,0.050370370370370406,960.0000000000016
cancer,0.5000000000000001,Decicision Tree,0.0023371200000474337,0.00016751699997257668,0.08018518518518519,32.840000000000025
cancer,0.5000000000000001,Random Forrest,0.1105621110003267,0.005090336999746798,0.05194444444444449,4032.2400000000007
cancer,0.5000000000000001,SVM,0.0016465680000328578,0.00015270399992004966,0.05083333333333334,60.0000000000001
cancer,0.5000000000000001,AdaBoost,0.2132455930002834,0.012489463000056286,0.04203703703703706,1483.2000000000005
cancer,0.5000000000000001,kNN,0.00042187500010186323,0.005892211999816937,0.08407407407407406,0
cancer,0.5000000000000001,Logistic Regression,0.008138613999799416,0.00014133599994238465,0.06407407407407413,0
cancer,0.5000000000000001,Neural Network,0.36828599999964357,0.00034846700025809697,0.0617592592592593,75266.00000000019
cancer,0.5500000000000002,QDA,0.000967434999984107,0.00021479199989698832,0.04675925925925931,1859.9999999999968
cancer,0.5500000000000002,LDA,0.0013823810001485982,0.00014125199977570445,0.051111111111111156,960.0000000000016
cancer,0.5500000000000002,Decicision Tree,0.002532741999893915,0.00016478400000778496,0.07472222222222225,35.56000000000003
cancer,0.5500000000000002,Random Forrest,0.11402552299983655,0.005162438000043042,0.04564814814814818,4364.879999999997
cancer,0.5500000000000002,SVM,0.0017413830000077724,0.00015248000006977245,0.04527777777777781,60.0000000000001
cancer,0.5500000000000002,AdaBoost,0.22276334099988154,0.012325000000128058,0.03740740740740743,1487.08
cancer,0.5500000000000002,kNN,0.00042216099969664365,0.005886569000176679,0.08009259259259265,0
cancer,0.5500000000000002,Logistic Regression,0.008148817000110286,0.00014028200006578113,0.060185185185185223,0
cancer,0.5500000000000002,Neural Network,0.38808707000007414,0.0003505159998894668,0.057870370370370405,75266.00000000019
cancer,0.6000000000000002,QDA,0.000990487999952165,0.00021489900009328273,0.04620370370370374,1859.9999999999968
cancer,0.6000000000000002,LDA,0.0014208740000685794,0.00014138199989247366,0.04842592592592596,960.0000000000016
cancer,0.6000000000000002,Decicision Tree,0.0027759100001276227,0.00016697299986844877,0.0703703703703704,36.64000000000005
cancer,0.6000000000000002,Random Forrest,0.1163232240000798,0.0050799169998572355,0.043333333333333376,4670.479999999999
cancer,0.6000000000000002,SVM,0.001922977999965951,0.00015588799993565764,0.04472222222222224,60.0000000000001
cancer,0.6000000000000002,AdaBoost,0.23529184300001366,0.012429998000043269,0.03509259259259261,1488.7600000000014
