dataset,training_ratio,model,training_time,predict_time,error,model_size
diabetes,0.01,QDA,0.0022905300014826936,0.016102449999016246,0.24545435684647302,923.9999999999999
diabetes,0.01,LDA,0.004228880000300705,0.0011700600000040138,0.14060580912863072,483.00000000000006
diabetes,0.01,Decicision Tree,0.002440080000087619,0.003278770000906661,0.14648340248962655,121.59999999999998
diabetes,0.01,Random Forrest,0.5940289099999062,0.9103906200019992,0.13702697095435684,437194.0
diabetes,0.01,AdaBoost,0.05772885000042152,0.0774402300005022,0.14528215767634853,410.0
diabetes,0.01,kNN,0.0005886300008569377,1.126235330000054,0.1402697095435685,0
diabetes,0.01,Logistic Regression,0.025078189999476308,0.0012647500007005874,0.13895228215767633,0
diabetes,0.01,Neural Network,0.3144289099989692,0.04163733000023057,0.14221784232365148,72961.99999999999
diabetes,0.015,QDA,0.0026181200009887107,0.0157892199975322,0.23072055436834787,923.9999999999999
diabetes,0.015,LDA,0.005595609998999862,0.001123750000988366,0.14081619950621382,483.00000000000006
diabetes,0.015,Decicision Tree,0.0032850300005520697,0.00346235999968485,0.14296977115707793,122.39999999999999
diabetes,0.015,Random Forrest,0.754464829997596,0.9942695600009755,0.13731820162244032,608878.0
diabetes,0.015,AdaBoost,0.0713052900013281,0.0779024400006165,0.14288055768791882,432.0
diabetes,0.015,kNN,0.0006087599991587922,1.1467766599998868,0.14073321023257745,0
diabetes,0.015,Logistic Regression,0.02792277999978978,0.0012065700007951818,0.13908379841905436,0
diabetes,0.015,Neural Network,0.47721352000007755,0.042078410000976875,0.14515653851739665,72961.99999999999
diabetes,0.019999999999999997,QDA,0.003415929998300271,0.015547610001522117,0.2292972883254839,923.9999999999999
diabetes,0.019999999999999997,LDA,0.004568099998869001,0.0011538599988853092,0.139596257183759,483.00000000000006
diabetes,0.019999999999999997,Decicision Tree,0.004112390000227605,0.0034927899992908355,0.14101744849478207,122.79999999999998
diabetes,0.019999999999999997,Random Forrest,0.9016990599986456,1.044668389999424,0.1364281416626901,753560.8
diabetes,0.019999999999999997,AdaBoost,0.08553257000094164,0.07833716999957686,0.14189091059980496,436.8
diabetes,0.019999999999999997,kNN,0.0007486599999538156,1.1694962399982614,0.13984522500466814,0
diabetes,0.019999999999999997,Logistic Regression,0.03056045999983326,0.0012542000004032163,0.13800493786178136,0
diabetes,0.019999999999999997,Neural Network,0.6318065100014791,0.04156683999972302,0.14314197389987346,72961.99999999999
diabetes,0.024999999999999998,QDA,0.003820470000209752,0.015811970000504515,0.22666445361936968,923.9999999999999
diabetes,0.024999999999999998,LDA,0.008819219997531035,0.0012228900006448385,0.13963775182057722,483.00000000000006
diabetes,0.024999999999999998,Decicision Tree,0.0051213200000347564,0.0036749599996255713,0.14193240523662318,124.39999999999999
diabetes,0.024999999999999998,Random Forrest,1.083569229999557,1.097082699999737,0.13653602771841739,888307.6
diabetes,0.024999999999999998,AdaBoost,0.1024828100009472,0.0806949199992232,0.14190958318637317,430.0
diabetes,0.024999999999999998,kNN,0.0008182899990060833,1.21922847000169,0.14120417436046392,0
diabetes,0.024999999999999998,Logistic Regression,0.03440059999775258,0.0013150200007657987,0.1386626278553497,0
diabetes,0.024999999999999998,Neural Network,0.8031702200001746,0.041166410000005274,0.1407477333554638,72961.99999999999
diabetes,0.03,QDA,0.004573059999529505,0.015612630000396166,0.22941701244813276,923.9999999999999
diabetes,0.03,LDA,0.009962919999816222,0.0012431900002411566,0.13855186721991702,483.00000000000006
diabetes,0.03,Decicision Tree,0.006260320001456421,0.0038782699994044383,0.13940456431535267,125.19999999999997
diabetes,0.03,Random Forrest,1.2265665600018112,1.1299671799992212,0.1362219917012448,1008968.4
diabetes,0.03,AdaBoost,0.11629577999920002,0.07897711000114215,0.14094605809128635,445.2
diabetes,0.03,kNN,0.000900910000927979,1.241275499997573,0.1403838174273859,0
diabetes,0.03,Logistic Regression,0.03739645999958156,0.0013202800000726709,0.13756846473029047,0
diabetes,0.03,Neural Network,0.9524764100009633,0.04198341000010259,0.14092738589211617,72961.99999999999
diabetes,0.034999999999999996,QDA,0.0049767299999075474,0.015821000000141795,0.23603186788107636,923.9999999999999
diabetes,0.034999999999999996,LDA,0.007336260000738548,0.0012471599991840778,0.13895309031307704,483.00000000000006
diabetes,0.034999999999999996,Decicision Tree,0.007147779999650083,0.0036385600003995934,0.13887425050312246,124.39999999999999
diabetes,0.034999999999999996,Random Forrest,1.380095720000827,1.1607071899990844,0.1363451523890537,1118885.5999999999
diabetes,0.034999999999999996,AdaBoost,0.13161292000077082,0.07978742999839597,0.14108591464553208,441.2
diabetes,0.034999999999999996,kNN,0.0010860000002139714,1.2674998300004519,0.1413991991535094,0
diabetes,0.034999999999999996,Logistic Regression,0.03987549999947078,0.0012843699994846249,0.1382954003195087,0
diabetes,0.034999999999999996,Neural Network,1.106824900000356,0.04112737000104972,0.13830369924687236,72961.99999999999
diabetes,0.039999999999999994,QDA,0.005656109999108594,0.01602227999974275,0.22760638187514265,923.9999999999999
diabetes,0.039999999999999994,LDA,0.011090099998546066,0.0012638700005481952,0.1388638768439179,483.00000000000006
diabetes,0.039999999999999994,Decicision Tree,0.008183700000518003,0.0037730199997895396,0.1377331479906222,125.59999999999998
diabetes,0.039999999999999994,Random Forrest,1.539109169999574,1.1868405599998368,0.13504844498848523,1234406.0
diabetes,0.039999999999999994,AdaBoost,0.14707243000084416,0.08096552999995767,0.13942820390464533,444.8
diabetes,0.039999999999999994,kNN,0.0011777700012316926,1.3076797800000348,0.1398369260773045,0
diabetes,0.039999999999999994,Logistic Regression,0.04365038000032655,0.0012771199995768256,0.1372310628851221,0
diabetes,0.039999999999999994,Neural Network,1.2821361700000125,0.04175811000095564,0.13803605883939501,72961.99999999999
diabetes,0.045,QDA,0.006077300000470131,0.016117039998789554,0.2308195020746888,923.9999999999999
diabetes,0.045,LDA,0.010351259999879403,0.0012454000017896763,0.13899585062240666,483.00000000000006
diabetes,0.045,Decicision Tree,0.00916423999951803,0.0037165800000366293,0.1384128630705394,125.59999999999998
diabetes,0.045,Random Forrest,1.7126493900010245,1.2012561399991681,0.13591908713692946,1332767.6
diabetes,0.045,AdaBoost,0.1608099499993841,0.0803070599999046,0.13985684647302904,434.8
diabetes,0.045,kNN,0.0012660700012929738,1.320568259999709,0.1412759336099585,0
diabetes,0.045,Logistic Regression,0.046088439999584806,0.0012993500000447967,0.13836721991701242,0
diabetes,0.045,Neural Network,1.4139414600009332,0.04145292999965022,0.14013278008298755,72961.99999999999
diabetes,0.049999999999999996,QDA,0.0064835799988941295,0.015761579999525564,0.23211892362912093,923.9999999999999
diabetes,0.049999999999999996,LDA,0.013590579999436159,0.0012641200002690312,0.13961285503848628,483.00000000000006
diabetes,0.049999999999999996,Decicision Tree,0.010085750000871486,0.0036772399995243176,0.13745720865578123,125.19999999999999
diabetes,0.049999999999999996,Random Forrest,1.8579004499988514,1.216669060001732,0.1358617398701218,1401701.6
diabetes,0.049999999999999996,AdaBoost,0.1761079400013841,0.08076137999814818,0.14043237411564555,450.0
diabetes,0.049999999999999996,kNN,0.0013474500003212598,1.3489306100003888,0.1414427685221685,0
diabetes,0.049999999999999996,Logistic Regression,0.047782690000894947,0.0012858800000685733,0.13841573476628144,0
diabetes,0.049999999999999996,Neural Network,0.19202672000028545,0.04229463000083342,0.18167181891740494,72961.99999999999
diabetes,0.05499999999999999,QDA,0.006828600000881124,0.015982719999010443,0.23278698728189381,923.9999999999999
diabetes,0.05499999999999999,LDA,0.015662699999666074,0.0013041900005191565,0.1387435423971452,483.00000000000006
diabetes,0.05499999999999999,Decicision Tree,0.011006870001438072,0.003582500000629807,0.1380858524035768,125.19999999999997
diabetes,0.05499999999999999,Random Forrest,2.020929759999126,1.2378848200009087,0.13530986120043983,1493199.9999999998
diabetes,0.05499999999999999,AdaBoost,0.19318915000185366,0.08351226999948268,0.14023112512707733,441.99999999999994
diabetes,0.05499999999999999,kNN,0.0014150499999232124,1.3978671299984853,0.14034731011016827,0
diabetes,0.05499999999999999,Logistic Regression,0.05011976999958279,0.001278020002064295,0.1372538849353721,0
diabetes,0.05499999999999999,Neural Network,0.20673423000043842,0.043013819999032414,0.17100769725512976,72961.99999999999
diabetes,0.05999999999999999,QDA,0.007335149999562417,0.015940100000443637,0.23177036867984815,923.9999999999999
diabetes,0.05999999999999999,LDA,0.0121625399995537,0.0012560600000142586,0.1388140832797361,483.00000000000006
diabetes,0.05999999999999999,Decicision Tree,0.011982210002315695,0.0035889699989638756,0.13730782796323576,125.59999999999998
diabetes,0.05999999999999999,Random Forrest,2.155902249999781,1.2473965299999692,0.13509823855266706,1586526.8
diabetes,0.05999999999999999,AdaBoost,0.20479614999931073,0.08161224000068615,0.13964812547978173,450.0
diabetes,0.05999999999999999,kNN,0.001448690000688657,1.4065266399979008,0.14062324944500923,0
diabetes,0.05999999999999999,Logistic Regression,0.053057679999619724,0.0012710300012258812,0.13788045395132678,0
diabetes,0.05999999999999999,Neural Network,0.23043416000000436,0.04210457000008318,0.17200149380692545,72961.99999999999
diabetes,0.06499999999999999,QDA,0.00781302000177675,0.016193979998206487,0.22828215767634857,923.9999999999999
