dataset,training_ratio,model,training_time,predict_time,error,model_size
diabetes_50_50,0.1,QDA,0.004022900000563823,0.005921899999520974,0.2779928528886242,924.0
diabetes_50_50,0.1,LDA,0.02026299999852199,0.0006730999994033482,0.254988088147707,483.0
diabetes_50_50,0.1,Decicision Tree,0.007307199997740099,0.0011317999997118022,0.2751637879690292,238.0
diabetes_50_50,0.1,Random Forrest,0.5053962000019965,0.14080039999680594,0.2541691483025611,210252.0
diabetes_50_50,0.1,AdaBoost,0.07471129999976256,0.015028199999505887,0.27069684335914235,300.0
diabetes_50_50,0.1,kNN,0.001157700000476325,0.4719956999979331,0.28625670041691487,0
diabetes_50_50,0.1,Logistic Regression,0.031321200000093086,0.00046939999811002053,0.25565812983919,0
diabetes_50_50,0.1,Neural Network,1.7899099999995087,0.008173599999281578,0.26384752829064917,72962.0
diabetes_50_50,0.1291549665014884,QDA,0.0053573000004689675,0.0038320999992720317,0.2745681953543776,924.0
diabetes_50_50,0.1291549665014884,LDA,0.0677867000013066,0.000611600000411272,0.257817153067302,483.0
diabetes_50_50,0.1291549665014884,Decicision Tree,0.00904679999803193,0.0011408999998820946,0.2675699821322216,246.0
diabetes_50_50,0.1291549665014884,Random Forrest,0.6025149000015517,0.14754600000014761,0.256998213222156,236740.0
diabetes_50_50,0.1291549665014884,AdaBoost,0.09254669999791076,0.01588139999876148,0.268314472900536,300.0
diabetes_50_50,0.1291549665014884,kNN,0.0008973000003607012,0.37625649999972666,0.28342763549731986,0
diabetes_50_50,0.1291549665014884,Logistic Regression,0.03586830000131158,0.0005361000003176741,0.26444312090530075,0
diabetes_50_50,0.1291549665014884,Neural Network,1.105890899998485,0.007351899999775924,0.2582638475282907,72962.0
diabetes_50_50,0.16681005372000587,QDA,0.005935100001806859,0.0036242999995010905,0.2741419105055468,924.0
diabetes_50_50,0.16681005372000587,LDA,0.05145070000071428,0.0005326999998942483,0.2538157992703447,483.0
diabetes_50_50,0.16681005372000587,Decicision Tree,0.011505799997394206,0.001166500002000248,0.26379271833817286,254.0
diabetes_50_50,0.16681005372000587,Random Forrest,0.7384173999998893,0.14533680000022287,0.2523267068721614,239564.0
diabetes_50_50,0.16681005372000587,AdaBoost,0.11279300000023795,0.016183300002012402,0.26565408383590206,300.0
diabetes_50_50,0.16681005372000587,kNN,0.0012403000000631437,0.39736830000038026,0.27592882138336683,0
diabetes_50_50,0.16681005372000587,Logistic Regression,0.03907519999847864,0.00047759999870322645,0.2602933512024421,0
diabetes_50_50,0.16681005372000587,Neural Network,1.422836699999607,0.007770399999571964,0.24972079517534063,72962.0
diabetes_50_50,0.21544346900318834,QDA,0.006715499999700114,0.0033799999982875306,0.27762060750446693,924.0
diabetes_50_50,0.21544346900318834,LDA,0.032625300002109725,0.0005481999978655949,0.2571471113758189,483.0
diabetes_50_50,0.21544346900318834,Decicision Tree,0.015638500000932254,0.0011896999967575539,0.27077129243597375,254.0
diabetes_50_50,0.21544346900318834,Random Forrest,0.8832325000003038,0.1443275999990874,0.2515634306134604,258072.0
diabetes_50_50,0.21544346900318834,AdaBoost,0.1454928999992262,0.016760000002250308,0.2625074449076832,300.0
diabetes_50_50,0.21544346900318834,kNN,0.0012814000001526438,0.41296329999750014,0.2760571768910065,0
diabetes_50_50,0.21544346900318834,Logistic Regression,0.04635679999773856,0.0004805999997188337,0.26094401429422276,0
diabetes_50_50,0.21544346900318834,Neural Network,0.2063732999995409,0.006923600001755403,0.2724836212030971,72962.0
diabetes_50_50,0.2782559402207124,QDA,0.00889169999936712,0.003545499999745516,0.271143537820131,924.0
diabetes_50_50,0.2782559402207124,LDA,0.05736619999879622,0.0005426999996416271,0.2519356759976177,483.0
diabetes_50_50,0.2782559402207124,Decicision Tree,0.019608799997513415,0.0011494000027596485,0.2631774865991662,254.0
diabetes_50_50,0.2782559402207124,Random Forrest,1.07069219999903,0.14742050000131712,0.2499255509231686,267480.0
diabetes_50_50,0.2782559402207124,AdaBoost,0.18029350000142585,0.016196900000068126,0.2619118522930316,300.0
diabetes_50_50,0.2782559402207124,kNN,0.0015035999967949465,0.4410177999998268,0.27002680166765936,0
diabetes_50_50,0.2782559402207124,Logistic Regression,0.050907100001495564,0.00048429999878862873,0.257817153067302,0
diabetes_50_50,0.2782559402207124,Neural Network,0.2678861999993387,0.007462900000973605,0.26518761167361526,72962.0
diabetes_50_50,0.35938136638046275,QDA,0.009482299999945099,0.004292900001019007,0.2710690887432996,924.0
diabetes_50_50,0.35938136638046275,LDA,0.037699000000429805,0.0006493000000773463,0.25387135199523525,483.0
diabetes_50_50,0.35938136638046275,Decicision Tree,0.026266300003044307,0.0015075999981490895,0.2639964264443121,254.0
diabetes_50_50,0.35938136638046275,Random Forrest,1.3744699000017135,0.14596779999919818,0.25022334723049433,289068.0
diabetes_50_50,0.35938136638046275,AdaBoost,0.23299219999898924,0.01599970000097528,0.26503871351995234,300.0
diabetes_50_50,0.35938136638046275,kNN,0.0018624000003910623,0.48001990000193473,0.27709946396664686,0
diabetes_50_50,0.35938136638046275,Logistic Regression,0.062031800000113435,0.000495000000228174,0.2585616438356164,0
diabetes_50_50,0.35938136638046275,Neural Network,0.430712900000799,0.007509499999287073,0.2562537224538416,72962.0
diabetes_50_50,0.46415888336127786,QDA,0.013360099997953512,0.0034807000010914635,0.27332290968654605,924.0
diabetes_50_50,0.46415888336127786,LDA,0.04409960000339197,0.000623500000074273,0.252624525351798,483.0
diabetes_50_50,0.46415888336127786,Decicision Tree,0.03267520000008517,0.0013255000012577511,0.2651329014965379,254.0
diabetes_50_50,0.46415888336127786,Random Forrest,1.7077396999993653,0.1482399999986228,0.25001861365497724,297032.0
diabetes_50_50,0.46415888336127786,AdaBoost,0.2960702999989735,0.015201099999103462,0.2636438090983545,300.0
diabetes_50_50,0.46415888336127786,kNN,0.002318599999853177,0.521505700002308,0.274216365125456,0
diabetes_50_50,0.46415888336127786,Logistic Regression,0.07524310000007972,0.0004923999986203853,0.2604422604422605,0
diabetes_50_50,0.46415888336127786,Neural Network,0.47218359999897075,0.008839000001898967,0.25515598242870974,72962.0
diabetes_50_50,0.5994842503189409,QDA,0.01522109999859822,0.0036977000017941464,0.2706425433698161,924.0
diabetes_50_50,0.5994842503189409,LDA,0.038212299998122035,0.0006155000010039657,0.2513587968133423,483.0
diabetes_50_50,0.5994842503189409,Decicision Tree,0.04293410000173026,0.00123639999947045,0.2618568982205346,254.0
diabetes_50_50,0.5994842503189409,Random Forrest,2.2383574999985285,0.1483979000004183,0.24741270195815646,305596.0
diabetes_50_50,0.5994842503189409,AdaBoost,0.3885821000003489,0.015655299997888505,0.26230362593998957,300.0
diabetes_50_50,0.5994842503189409,kNN,0.0028770999997504987,0.5638178000008338,0.2739185466458194,0
diabetes_50_50,0.5994842503189409,Logistic Regression,0.09150390000286279,0.0005139999993843958,0.2563472563472563,0
diabetes_50_50,0.5994842503189409,Neural Network,0.7059938000020338,0.008244999997259583,0.252624525351798,72962.0
diabetes_50_50,0.774263682681127,QDA,0.018469399998139124,0.0037616000008711126,0.27002680166765936,924.0
diabetes_50_50,0.774263682681127,LDA,0.09160289999999804,0.0006341000007523689,0.25037224538415725,483.0
diabetes_50_50,0.774263682681127,Decicision Tree,0.05520360000082292,0.0012513000001490582,0.26027397260273977,254.0
diabetes_50_50,0.774263682681127,Random Forrest,2.8299093000023277,0.14852029999747174,0.24672424061941634,321696.0
diabetes_50_50,0.774263682681127,AdaBoost,0.5037238000004436,0.015679600001021754,0.25037224538415725,300.0
diabetes_50_50,0.774263682681127,kNN,0.0036505999996734317,0.6702726999974402,0.26846337105419893,0
diabetes_50_50,0.774263682681127,Logistic Regression,0.10964670000248589,0.0005054999965068419,0.26019952352590825,0
diabetes_50_50,0.774263682681127,Neural Network,0.8689773000005516,0.008992700000817422,0.24806432400238232,72962.0
diabetes_50_50,1.0,QDA,0.02532180000343942,0.0037183999993430916,0.27473754746482015,924.0
diabetes_50_50,1.0,LDA,0.07091059999947902,0.0005514999975275714,0.2533690715508897,483.0
diabetes_50_50,1.0,Decicision Tree,0.06811999999990803,0.001284599999053171,0.2618568982205346,254.0
diabetes_50_50,1.0,Random Forrest,3.598511399999552,0.1497693999990588,0.25143325143325146,330496.0
diabetes_50_50,1.0,AdaBoost,0.6519951000009314,0.015348000000813045,0.2658774476956295,300.0
diabetes_50_50,1.0,kNN,0.0046947999981057364,0.7285839000032865,0.27302509120690943,0
diabetes_50_50,1.0,Logistic Regression,0.14553259999956936,0.000495000000228174,0.25768743950562134,0
diabetes_50_50,1.0,Neural Network,1.0968137999989267,0.009696499997517094,0.25187997915270643,72962.0
